Name,Lat,Long,Summary,Description/History,Images
North Head,-33.807031,151.296344,"During World War I and World War II, North Head was an important strategic point.","From 1936 defences were established, including a 9.2 inch gun. From 1945 to 1997 the Royal Artillery School was based here. It was involved with the Manly community, especially on official occasions, such as the annual Anzac Day ceremony at Manly’s Cenotaph in the Corso.From 1901 walls were built on both sides of the road, to separate the Quarantine Station from St Patrick’s College. Walk beside the archway, which has changed in function. On its original site, it formed the gateway to the Quarantine Station. In 1921 new walls were built to separate the new hospital from the Quarantine Station.32 The gateway was moved as part of an employment project during the Depression. The archway was renamed to commemorate the opening of Parkhill Reserve by the Hon. A. Parkhill MP in 1933.",
Manly Hospital,-33.805442,151.294865,Built in 1927.,"The first hospital was opened in 1896, on the corner of Raglan Street and Quinton Road adjacent to Ivanhoe Park. This hospital treated a variety of conditions, but enteric diseases in particular, as the incidence was higher in Manly than many other parts of Sydney because of poor sanitary conditions. The first hospital was soon too small. In October 1917, twelve acres of land were granted at North Head for a new hospital, which was not built until 1927. This hospital could not be used until 1931, when nurses’ accommodation was completed, and patients and nurses could move in together. This hospital has always been strongly supported by the community, and half of the money for building it was raised locally. Fund-raising events, in particular the Venetian Carnivals, have continued to support further needs.",manly_hospital
The Archbishop’s Residence,-33.805055,151.292331,"Commonly referred to as the Cardinal’s Palace, was built in the domestic Gothic style and finished in 1886","It cost £10,000, a considerable sum in those days. The first cardinal to live here was Cardinal Moran, whose coat of arms can be seen on the wall of the building. There is also a private chapel in the building, on the first floor. Cardinal Moran died here in 1911 but was buried in St Mary’s Cathedral, Sydney. There are some magnificent trees in the grounds, which extend to the foreshore at Collins Beach. St Paul’s College, a boys’ high school, opened in 1929 and occupies part of the grounds.",archbishop_residence
Cerretti Chapel,-33.804375,151.293436,Opened on 18 November 1935,"It is named after a visiting cardinal, the first Apostolic delegate in Australia. Before it was built, there was no appropriate chapel building for the students and staff of the college.",
Bear Cottage,-33.803667,151.29205,Opened in 2001,Opened in 2001 to provide respite for sick children and their families.,
St Patrick’s College,-33.803999,151.293874,The seminary left in 1995,"The building was leased to the International College of Tourism and Hotel Management. The College and the Cerretti Chapel are used for functions and are open to the public from time to time. The grounds are an important part of the whole college. Some magnificent trees, now over a hundred years old, are still standing.",st_patricks
Shelly Beach,-33.800551,151.297939,This beach is named for the enormous quantity of shells that used to be found here.,"In the 1920s the tide regularly deposited shells. By 1933 it was reported that hundreds of shells had been taken from the beach. Now few remain. This was a popular beach for fishing boats to be hauled up on, and for boat owners for drying and repairing their nets. Look on the headland on the far side on the beach for the remains of a jetty, a winch, boat rails and a lookout tower for spotting shoals of fish.",
Along the shore to Fairy Bower,-33.800939,151.293985,,"In 1859 it was proposed to leave Shelly Beach and the land along the shore as far as Fairy Bower for the public to enjoy. However, John Robertson, Secretary for Lands, was keen to exclude the public, believing that the church grant should form a buffer between the public and the Quarantine Station. There was considerable objection to the exclusion of the public by 1885, but it was not until 1898 that Shelly Beach and the ocean foreshore were returned to the people at Manly Council’s request, as this was such a popular recreation place. Twenty-two acres of land from the Quarantine Station were added to St Patrick’s College in exchange for eight acres of foreshore and headland at Shelly Beach. A sewer was laid along the foreshore to discharge the other side of the headland at Shelly Beach. Marine Parade was built over it as a walkway.",
Fairy Bower,-33.800845,151.293563,,"There used to be many wildflowers in this area. Francis Myers, who described the delights of Manly in 1885, said that the fencing of the land belonging to St Patrick’s College protected a vast area of wildflowers. Myers also described Fairy Bower and Shelly Beach as pleasing picnic spots, with ‘never failing supplies of water, firewood always obtainable and delightful shade’. In 1858, C.F. Hemington leased eight acres at Fairy Bower and advertised his place, reached by steps from the beach, with refreshment tents and tables and seats. By the end of the year patronage had greatly increased, and a 50-gallon copper provided tea and coffee. Music and dancing were also organized.",fairy_bower
Manly Ocean Beach,-33.799304,151.290643,,"To hinder enemy landings during World War II, rolls of barbed wire were laid along the beaches. The remains of tank-traps, tetrahedrons made from concrete, are still buried under the sand here. Look for three weathered specimens near the walkway just after Bower Lane.",
South Steyne,-33.798838,151.289539,Offshore of South Steyne is a popular surfing spot.,"In 1936 tragedy struck when a teenage boy was taken by a shark while out swimming with two friends. The conditions were typical for a shark attack: the ski was overcast, and it was late afternoon. In the 1930s and 1940s, sharks could often be seen in the water. Sharks netted by local fishermen were displayed in a shed at Fairy Bower for a small fee, and the proceeds went to the Surf Club. Sydney’s garbage was regularly dumped in the sea until 1930s, and sewerage was discharged at the beach. The end of these practices, and the introduction of the practice of netting the beaches, mean that sharks are rarely seen now in this area.",
