Name,Latitude,Longitude,summary,Discription of history,image
Shooting spot,-33.800117,151.287451,,"The Bijou Theatre entertained audiences with a biotint called „A Trip to the Moon‟. The 32 moon scenes included „photographs‟ of its inhabitants. Audiences found „weirdly delightful‟…‟A beautiful Electrical Transformation Cloak Effect Act.‟ Entertainments described as „the latest successes from London and American theatres‟ were on the Bijou‟s schedule, with four daily performances. In the background an orchestra played day and night from a gaily illuminated band stand. At the gypsy tea rooms waitresses in Swiss costume served ices, ice creams, fruit salads, cakes and fancy pastries; and at the kiosk patrons could buy a glass of wine. Family parties were catered for at any time and supper parties could be catered for by arrangement. The grounds were enclosed by a 4-metre high fence that was decorated by landscape artist Ray Phillips. Steyne Court covered one and a half acres of land between Wentworth and Ashburner Streets. It opened daily from 2.30 to 10pm and on holidays 11am to 10pm. Admission was 6d for adults and 3d for children.",
Ashburner Street,-33.800752,151.288598,Ashburner Street history,"Ashburner Street contains a variety of architectural styles ranging from the Victorian era to the most recent, the south tower of The Kestrel, on the corner of Dungowan Lane, which opened in 1989. The oldest blocks of flats, erected during Manly‟s building boom in the 1920s and 30s, are nos 43, 41, 39-37, and opposite, no 34 Rowena and no 30 Winchelsea. The domestic style of Gallipoli Flats no 43 and The Astor no 41, differ remarkably from The Checkers next door. Its entrance, marked by grand columns and terrazzo stairs inlaid with the building‟s name, creates an image of material success and symbolizes the optimism of investors – a reminder that not everyone lost money in the Great Depression. Valentia at no 33 was built about 1918. The horizontal lines decorating the façade, repeated in the house number, the verandah steps and front fence, are precursor to the Art Deco style of the 1930s. The cottages at nos 20 and 18 are Victorian Italianate in style, featuring ornate timber fascias, and cast-iron columns and valances. Across the road the three cottages nos 23, 21, and 19 and no 10 opposite, were built just after World War I. The absence of ornamentation, noticeable where the houses retain their original appearance, indicates that they were typical workers‟ cottages of this period. Nos 16 and 14 are also workers‟ cottages built in the mid 1920s. Their brick entrances, stained glass, and intricately-carved verandah brackets, indicate that they were built in a time of greater prosperity. A small two-storied building at no 15A was built in the 1870s. it has a pressed metal skirt beneath its bay window, and its brick sidewall is rendered and scored to imitate sandstone. In the 1890s there was a timber merchant and coal and fuel depot here, whose delivery carts loaded in the yard behind the double gates. 8A Ashburner Street is particularly interesting because the folding doors that now form part of the street wall once opened daily onto the footpath. They are a remnant of the industry that operated from this combined factory and residence. In 1895, cordial manufacturer, H E Stevenson, lived here, and later Sanders and Co, carriers. The entrance to the residence is set back from the street, giving privacy to the family who lives there.",
Darley Road,-33.800991,151.288204,Darley Road hsitory,"Cross Darley Road using the pedestrian refuge up the hill and return again to Ashburner Street. Adastra, no 8, is an example of Art Deco architecture. The feature at the top, centre of the building has a waterfall motif, a theme typical of this style. Set back from the road at no 2 is Fairlands. Its architectural style is Victorian Rustic Gothic with contemporary additions. The Mayor of Manly 1897-98, F C Passau, built Fairlands in 1885. A plaque on the driveway wall gives a description of Fairlands‟ history. Opposite Fairlands at nos 7A and 5 there are two late Victorian terraces typical of high density working class suburbs, such as Glebe or Paddington. The iron lace verandahs provide a decorative façade to the modest building behind. Ashburner Street‟s architecture captures a microcosm of Manly‟s history. The cottages were the homes of workers and trades-people who serviced the 19th century mansions built on the hillsides above, and the visitors who stayed here. The flats of the 1920s and 30s and the units of the 1960s and 70s mark Manly‟s transition from village to dormitory suburb",fairlands
Broken column memorial,-33.801648,151.286589,Broken column memorial,"Cross East Esplanade to the broken column memorial. The broken column memorial is a fine piece of Victorian monumental architecture, erected in 1908. The broken column, signifying a life cut off before its natural term, is dedicated to troopers who died fighting in South Africa in 1900; also to F C Smalpage who drowned while attempting to save Miss M Thorpe – a reminder of how close the ocean is in the life of Manly. Recent excavations revealed a midden, evidence that Aborigines used to eat here. They were very skilled at catching fish, which provided the main part of their diet. Using lines, spears or nets, men and women fished from the shore and in canoes. They cooked fish on a small fire aboard their canoes, or on the shore leaving shells and fish bones to be found centuries later. East Esplanade was the focal point of the Venetian Carnivals. In 1913 for the first occasion 2,000 seats were set up here to view the spectacle. Over the years the carnivals grew, lasting for up to two weeks, and attracting thousands of people. Highlights mentioned in the Sydney Morning Herald in January 1913 included stalls, „chocolate wheels and other gambling devices‟, food, costumes, parades and fireworks. The climax was the water pageant, with all the boats and the harbour foreshore decorated with hundreds of Chinese lanterns, flags and streamers. At a time of limited lighting it was remarkable to see „Manly and its cove… wrapped in dazzling splendour.‟ Walk along E",
East Esplanade,-33.800039,151.285234,East Esplanade,"Walk along East Esplanade towards the wharf. The Norfolk Island pines here were planted in 1881, in the same year that the sandstone harbour wall was originally constructed. From Manly Council‟s inception, under its beautification scheme, it set out to provide a restful and pleasing atmosphere by planting a variety of large trees. The recent renovations here, improving paths and providing grassy shaded spaces for picnics, continue this tradition. A cargo wharf once stood next to the ferry terminal. In 1893 a group of Manly residents formed the Manly Co-operative Steam Ferry Company breaking the monopoly of the Port Jackson Company which provided both the passenger and goods service for Manly. The competition reduced fares and increased services. As there were disputes about the use of the wharf the Government took over the wharf from Manly Council and built a second wharf so both companies could operate from here. However, in 1896, the Manly Co-operative collapsed and thereafter its wharf was used exclusively for cargo. The cargo wharf was for great importance for the first quarter of the century, when cargo was no longer carried on the passenger ferries, but by a separate fleet. The opening of the Spit Bridge in 1924 allowed easier passage of goods by land, consequently water transport decreased dramatically and the cargo wharf ceased operation by 1928. Later it became a Fun Pier and was replaced by the existing complex in 1989.",
41 and 42 East Esplanade,-33.799623,151.285592,41 and 42 East Esplanade,"The terrace houses, nos 41 and 42 East Esplanade, two of the earliest buildings of Manly still standing, are best seen from the park. Only the façade remains of these early Gothic Revival terraces built in the 1870s. They were about to be demolished in the early 1990s but protests by residents persuaded Manly Council to save them by refusing demolition consent.",41_42_east_esplanade
Corso,-33.798243,151.286046,Corso history,"Cross by the pedestrian crossing opposite Wentworth Street and return to The Corso. In 1810 Governor Macquarie granted a total of 130 acres to Gilbert Baker and Richard Cheers. The boundaries extended from the southern side of The Corso to St Patrick‟s Estate. John Thompson‟s grant of 100 acres, on the northern side of The Corso, was purchased by Henry Gilbert Smith in 1853 and was quickly developed by him. D‟Arcy Wentworth bought both the Baker and Cheers grants and bequeathed them to his daughter Katherine Darley-Bassett. Henry Gilbert Smith leased this land in the 1850s. Legal complications regarding title prevented its sale until the Bassett-Darley Act of 1877 resolved the situation and the land was subdivided. A number of late 19th century buildings remain on The Corso although their ground floors have been altered. Many commercial buildings had balconies which not only created extra space but also provided shelter for people on the footpath.",
Aquarium,-33.798659,151.285707,19th century was the Aquarium,"One of the great attractions in Manly in the 19th century was the Aquarium, which was located approximately on the site of the present Westpac Bank. It was opened on 23 December 1886 by William Bede Dalley. Visitors could view a fine collection of fish, seals and tiger sharks. There was an octopus and an alligator too. The seal cavern and fernery were illuminated by electric light, Manly‟s latest novelty. The Aquarium was also an entertainment centre where concerts, dances and roller skating could be enjoyed in the grand hall. By 1893 the Aquarium had closed and the building was used to stage Manly‟s annual Wild Flower Show because the old pavilion in Ivanhoe Park had become too dilapidated.",
St Matthew‟s Church,-33.798408,151.28639,St Matthew‟s Church,"Cross Darley Road to St Matthew‟s Church. The sandstone St Matthew‟s Church designed by Edmund Blacket, architect of several churches in New South Wales, stood on the site of shops nos 46-55. Henry Gilbert Smith laid the foundation stone of the church in 1864. When The Corso was widened to 29 metres in 1877 the church encroached upon the street until it was demolished in 1928. The present church opened two years later on the site of the Victoria Hall.",
Ivanhoe Hotel,-33.797987,151.286031,Ivanhoe Hotel,"Opposite St Matthew‟s Church is the Ivanhoe Hotel, previously known as the Colonnade Hotel. There has been an Ivanhoe Hotel in Manly since 1876. Thomas Adrian built the first in Ivanhoe Park. After the hotel moved to The Corso Manly Council held its meetings in the old hotel in the park until 1909 and from then until 1923 the magistrate‟s court convened there.",
Commonwealth Bank,-33.7979,151.286192,Commonwealth Bank,"Beyond the polished grey granite and ceramic-tiled Commonwealth Bank is a group of 19th century commercial buildings, nos 41-55. Built in 1870, the row was originally constructed as a symmetrical group of five pairs of which only three remain intact. Pairs of mock Tudor gables in timber and render marked each end of the row. A low-arched gable pediment with two central semi-circular windows is framed by two pairs of small triangular pediments. Only two of the distinctive chimneys have survived.",
La Galerie,-33.798385,151.287554,La Galerie,on the corner of Rialto Lane stands the modern shopping complex La Galerie. In the late 1890s this was the site of the merry-go-round owned by „Sovereign‟ Smith – so named because he wore gold coins on his jacket and waistcoat. He made enough money from the merry-go-round to buy this block of land. His generosity to local charities made him a legend. He was particularly popular with children for whom he set aside free-ride days every month in the summer. In 1923 the Rialto cinema opened on this site. It was later renamed the Odeon but closed in 1960.,
